Word,Count
the,280
to,220
of,139
and,137
in,135
=,127
for,118
is,117
a,98
if,79
-,71
this,69
fix,62
by,62
we,60
image,57
data,56
{,50
not,49
be,49
it,47
with,45
on,44
from,42
support,41
},41
that,41
as,41
so,40
use,39
you,36
can,35
all,35
or,35
void,33
but,33
one,31
only,31
//,30
+,30
are,29
at,29
an,29
code,29
no,28
need,28
will,28
have,28
do,28
float,27
/,27
&,26
JPEG,26
first,24
,23
value,23
end,22
discard,22
just,22
pass,22
pixel,22
SIMD,22
number,22
some,21
file,21
1,20
components,20
get,19
next,19
interleaved,19
less-than,19
PNG,19
operator,18
load,18
into,18
RGB,18
0,18
decode,17
sorted,17
output,17
bits,17
pixels,17
row,17
buffer,17
case,16
color,16
read,16
bug,16
skip,15
return,15
default,15
used,15
same,15
always,15
more,15
element,15
each,15
bytes,15
inline,15
now,15
per,15
alpha,15
byte,15
then,14
which,14
right,14
channel,14
doesn't,14
PSD,14
implementation,14
allow,14
RLE,13
don't,13
error,13
should,13
convert,13
warning,13
>,13
compute,13
test,13
position,13
shift,12
3,12
BMP,12
type,12
it's,12
header,12
images,12
size,12
left,12
must,12
block,12
them,12
8-bit,12
through,12
--,12
see,12
char,12
==,12
The,12
up,12
\0.0f,\,11
than,11
using,11
SSE2,11
check,11
path,11
If,11
scan,11
I,11
avoid,11
found,11
zlib,11
values,11
even,11
int,11
GIF,11
order,11
other,11
has,11
jpeg,11
NEON,11
files,10
current,10
transpose,10
out,10
make,10
user-defined,10
last,10
remove,10
width,10
set,10
8,10
req_comp,10
glm::vec4,10
Read,10
4,10
bit,10
results,10
add,10
we'll,10
these,10
input,10
<<,9
marker,9
Sort,9
..,9
can't,9
since,9
const,9
\DynamicVertex,\,9
\data,\,9
TGA,9
};,9
huffman,9
two,9
png,9
already,9
progressive,9
HDR,9
(int)offsetof(struct,9
memory,9
any,9
before,9
versions,9
glm::vec3,9
\Sort,\,9
after,8
/////////////////////////////////////////////////////////////////////,8
later,8
was,8
still,8
failure,8
#define,8
reserved,8
component,8
way,8
version,8
where,8
ARM,8
STBI_NO_HDR,8
sort,8
public,8
2,8
y,8
store,8
previous,8
text,8
\a,\,8
0.0f);,8
palette,8
compiler,8
loader,8
handle,8
pack,7
extra,7
wrong,7
process,7
cases,7
count,7
shifted,7
decoding,7
decoder,7
colormap,7
n,7
IDCT,7
because,7
height,7
whether,7
final,7
x_pixel,7
warnings,7
You,7
build,7
blocks,7
between,7
also,7
source,7
elements,7
fast,7
x86,7
suppress,7
max,7
\components,\,7
both,7
b,7
returns,7
integer,7
y_pixel,7
that's,7
performance,7
functions,6
*comp,6
TODO:,6
callbacks,6
\"\C:\A\C_Programme\gluw\Glew\,6
odd,6
i,6
symbol,6
multiple,6
scanline,6
actually,6
every,6
Font*,6
single,6
32-bit,6
define,6
run,6
16-bit,6
copy,6
without,6
beginning,6
interface,6
want,6
C,6
broken,6
bigger,6
part,6
static,6
step,6
*,6
bug:,6
loading,6
force,6
4));,6
comments,6
move,6
Nicolas,6
correct,6
flag,6
16bit,6
reading,6
when,6
filter,6
added,6
8x8,6
render,6
disable,6
16,6
horizontal,6
automatically,6
restart,6
write,6
!STBI_NO_STDIO,5
interleave,5
down,5
*************************************************************************************************,5
===========================================================================,5
access,5
&&,5
samples,5
allowed,5
:,5
try,5
explicitly,5
done,5
clear,5
\c,\,5
allocate,5
API,5
See,5
removed,5
basic,5
domain,5
grey,5
iPhone,5
various,5
initialize,5
(c,5
would,5
#include,5
insert,5
tga,5
many,5
been,5
generate,5
sure,5
x,5
smaller,5
(e.g,5
look,5
yet,5
conversion,5
mode,5
compiling,5
(add),5
channels,5
could,5
